Scheme Code,Scheme Name,NAV,Date,Category
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,110.8829,2026-02-24,Debt
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.1175,2026-02-24,Debt
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.9286,2026-02-24,Debt
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,155.4094,2026-02-24,Debt
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.6031,2026-02-24,Debt
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.6506,2026-02-24,Debt
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.7329,2026-02-24,Debt
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.8182,2026-02-24,Debt
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,378.3709,2026-02-24,Debt
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,567.9862,2026-02-24,Debt
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,393.5698,2026-02-24,Debt
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2026-02-24,Debt
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,2026-02-24,Debt
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2816.4806,2026-02-24,Debt
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1039.816,2026-02-24,Debt
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.2027,2026-02-24,Debt
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,2026-02-24,Debt
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303,2026-02-24,Debt
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2726.3283,2026-02-24,Debt
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1039.3959,2026-02-24,Debt
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.2003,2026-02-24,Debt
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.9782,2026-02-24,Debt
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.9108,2026-02-24,Debt
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.7621,2026-02-24,Debt
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.7621,2026-02-24,Debt
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.9108,2026-02-24,Debt
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9083,2026-02-24,Debt
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.7734,2026-02-24,Debt
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4768,2026-02-24,Debt
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.4929,2026-02-24,Debt
121279,Bandhan Banking and PSU Fund - Direct Growth,26.2183,2026-02-24,Debt
121281,Bandhan Banking and PSU Fund - Direct IDCW,13.7914,2026-02-24,Debt
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.4975,2026-02-24,Debt
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,11.0113,2026-02-24,Debt
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.7141,2026-02-24,Debt
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8788,2026-02-24,Debt
